row_id,generation,framework,domain,model,claimed_threshold,claimed_n,claimed_score,claimed_uncertainty,claimed_direction,citation,source_id,source_resolves,cited_locator,value_status,note,coder,date
A1,primary,Anthropic,CBRN bio uplift trial,Opus 4,ASL-3 ≥5×; ≤2.8× acceptable,8–10/arm,63% (ctrl 25%); 2.53×,±13%,"below (but ""cannot rule out ASL-3"")",S4 §7.2.4.1 pp.89-90,claude-opus-4-sonnet-4-system-card-may-2025,Y,§7.2.4.1 p.90,confirmed,Opus 4 63%±13% vs control 25%±13%; uplift 2.53×; thr ≤2.8×/≥5×; '±13%' undefined (no SD/SE/CI).,agent+source,2026-07-10
A2,primary,Anthropic,CBRN bio uplift trial,Sonnet 4,same,8–10/arm,42%; 1.70×,±11%,below,S4 §7.2.4.1,claude-opus-4-sonnet-4-system-card-may-2025,Y,§7.2.4.1 p.90,confirmed,Sonnet 4 42%±11%; uplift 1.70×.,agent+source,2026-07-10
A3,primary,Anthropic,CBRN bio uplift trial,Claude 3.7,≥5× (≤2.8× ok),NOT REPORTED,27%→57%; ~2.1×,±9/±20-21%,below,S3.7 §7.1 pp.24-25,claude-3-7-sonnet-system-card-feb-2025,Y,§7.1.4 p.25,confirmed,27%±9% → 57%±20%; within-group uplift ~2.1×.,agent+source,2026-07-10
A4,primary,Anthropic,CBRN bioweapons knowledge Qs,Opus 4 / Sonnet 4,27/33 (>80%),33,17/33,none,below,S4 §7.2.4.5 p.94,claude-opus-4-sonnet-4-system-card-may-2025,Y,§7.2.4.5 p.94,confirmed,Opus 4 & Sonnet 4 = 17/33; thr 27/33.,agent+source,2026-07-10
A5,primary,Anthropic,CBRN bioweapons knowledge Qs,Claude 3.7,27/33,33,17/33,none,below,S3.7 §7.1 p.27,claude-3-7-sonnet-system-card-feb-2025,Y,§7.1.4 p.27,confirmed_note,3.7 card states 17/33 (the cited value). NOTE the later Opus 4 card retro-states 3.7 at 18/33 — a cross-card discrepancy on a human-graded eval; verdict unaffected (both far below 27/33). Consider a footnote.,agent+source,2026-07-10
A6,primary,Anthropic,CBRN long-form virology,Claude 3.7,<50% / >80%,13 subtasks,69.7%,none,indeterminate,S3.7 §7.1 p.26,claude-3-7-sonnet-system-card-feb-2025,Y,§7.1.4 p.26,confirmed,69.7% over 13 subtasks; zones <50%/>80%.,agent+source,2026-07-10
A7,primary,Anthropic,CBRN long-form virology t1/t2,Opus 4,<50%/>80%,NOT REPORTED,0.83; 0.72,none,rule-in zone,S4 §7.2.4.3 pp.91-92,claude-opus-4-sonnet-4-system-card-may-2025,Y,§7.2.4.3 pp.91-92,confirmed,"task1 0.83 end-to-end, task2 pass@5 0.720.",agent+source,2026-07-10
A8,primary,Anthropic,CBRN long-form virology t1/t2,Sonnet 4,<50%/>80%,NOT REPORTED,0.55; 0.635,none,below rule-in,S4 §7.2.4.3,claude-opus-4-sonnet-4-system-card-may-2025,Y,§7.2.4.3 p.92,confirmed,"task1 0.55, task2 0.635.",agent+source,2026-07-10
A9,primary,Anthropic,CBRN creative biology,Opus 4 / Sonnet 4,qual.,NOT REPORTED,0.45 / 0.37,±0.08,rule-out,S4 §7.2.4.8 pp.97-98,claude-opus-4-sonnet-4-system-card-may-2025,Y,§7.2.4.8 p.98,confirmed,Opus 4 0.45±0.08; Sonnet 4 0.37±0.08.,agent+source,2026-07-10
A10,primary,Anthropic,CBRN DNA-synth screening evasion,Opus 4 / Sonnet 4,≥1 pathogen viable+evasive,10 agents/6 criteria,none end-to-end,none,below,S4 §7.2.4.6 pp.95-96,claude-opus-4-sonnet-4-system-card-may-2025,Y,§7.2.4.6 pp.95-96,confirmed,No model both assembled and evaded end-to-end.,agent+source,2026-07-10
